Country,Category,Year,Month,Value
Afghanistan,Consumer Spending,2005,12,379330.0
Afghanistan,Consumer Spending,2006,12,410644.0
Afghanistan,Consumer Spending,2007,12,566338.0
Afghanistan,Consumer Spending,2008,12,612492.0
Afghanistan,Consumer Spending,2009,12,623348.0
Afghanistan,Consumer Spending,2010,12,727203.6
Afghanistan,Consumer Spending,2011,12,819179.7
Afghanistan,Consumer Spending,2012,12,913230.3
Afghanistan,Consumer Spending,2013,12,964147.4
Afghanistan,Consumer Spending,2014,12,973932.2
Afghanistan,Consumer Spending,2015,12,1044215.0
Afghanistan,Consumer Spending,2016,12,1095934.0
Afghanistan,Consumer Spending,2017,12,916896.97
Afghanistan,Consumer Spending,2018,12,1141118.94
Afghanistan,Consumer Spending,2019,12,1301640.0
Afghanistan,Consumer Spending,2020,12,1378386.0
Afghanistan,Consumer Spending,2021,12,1083952.0
Albania,Consumer Confidence,2005,3,-12.7
Albania,Consumer Confidence,2005,6,-12.5
Albania,Consumer Confidence,2005,9,-8.8
Albania,Consumer Confidence,2005,12,-9.5
Albania,Consumer Confidence,2006,3,-11.7
Albania,Consumer Confidence,2006,6,-12.0
Albania,Consumer Confidence,2006,9,-9.4
Albania,Consumer Confidence,2006,12,-7.5
Albania,Consumer Confidence,2007,3,-7.0
Albania,Consumer Confidence,2007,6,-9.5
Albania,Consumer Confidence,2007,9,-15.1
Albania,Consumer Confidence,2007,12,-10.6
Albania,Consumer Confidence,2008,3,-11.4
Albania,Consumer Confidence,2008,6,-13.3
Albania,Consumer Confidence,2008,9,-11.4
Albania,Consumer Confidence,2008,12,-17.2
Albania,Consumer Confidence,2009,3,-14.9
Albania,Consumer Confidence,2009,6,-10.4
Albania,Consumer Confidence,2009,9,-11.5
Albania,Consumer Confidence,2009,12,-11.0
Albania,Consumer Confidence,2010,3,-10.8
Albania,Consumer Confidence,2010,6,-8.5
Albania,Consumer Confidence,2010,9,-9.8
Albania,Consumer Confidence,2010,12,-10.2
Albania,Consumer Confidence,2011,3,-10.9
Albania,Consumer Confidence,2011,6,-12.6
Albania,Consumer Confidence,2011,9,-10.7
Albania,Consumer Confidence,2011,12,-6.2
Albania,Consumer Confidence,2012,3,-10.9
Albania,Consumer Confidence,2012,6,-15.8
Albania,Consumer Confidence,2012,9,-14.3
Albania,Consumer Confidence,2012,12,-16.2
Albania,Consumer Confidence,2013,3,-14.0
Albania,Consumer Confidence,2013,6,-11.7
Albania,Consumer Confidence,2013,9,-12.4
Albania,Consumer Confidence,2013,12,-16.0
Albania,Consumer Confidence,2014,3,-14.5
Albania,Consumer Confidence,2014,6,-15.2
Albania,Consumer Confidence,2014,9,-9.7
Albania,Consumer Confidence,2014,12,-12.9
Albania,Consumer Confidence,2015,3,-14.0
Albania,Consumer Confidence,2015,6,-9.8
Albania,Consumer Confidence,2015,9,-13.0
Albania,Consumer Confidence,2015,12,-12.0
Albania,Consumer Confidence,2016,3,-13.0
Albania,Consumer Confidence,2016,5,-23.6879
Albania,Consumer Confidence,2016,6,-22.1818
Albania,Consumer Confidence,2016,7,-24.6624
Albania,Consumer Confidence,2016,8,-25.4476
Albania,Consumer Confidence,2016,9,-24.6
Albania,Consumer Confidence,2016,10,-26.3682
Albania,Consumer Confidence,2016,11,-23.3652
Albania,Consumer Confidence,2016,12,-21.1176
Albania,Consumer Confidence,2017,1,-21.8194
Albania,Consumer Confidence,2017,2,-19.1807
Albania,Consumer Confidence,2017,3,-19.5564
Albania,Consumer Confidence,2017,4,-19.1767
Albania,Consumer Confidence,2017,5,-21.0484
Albania,Consumer Confidence,2017,6,-18.8759
Albania,Consumer Confidence,2017,7,-16.3224
Albania,Consumer Confidence,2017,8,-16.9047
Albania,Consumer Confidence,2017,9,-17.3223
Albania,Consumer Confidence,2017,10,-17.8599
Albania,Consumer Confidence,2017,11,-21.0849
Albania,Consumer Confidence,2017,12,-19.5264
Albania,Consumer Confidence,2018,1,-19.7673
Albania,Consumer Confidence,2018,2,-23.9623
