Country,Category,Year,Month,Value
Afghanistan,Corporate Tax Rate,2006,12,0.0
Afghanistan,Corporate Tax Rate,2007,12,20.0
Afghanistan,Corporate Tax Rate,2008,12,20.0
Afghanistan,Corporate Tax Rate,2009,12,20.0
Afghanistan,Corporate Tax Rate,2010,12,20.0
Afghanistan,Corporate Tax Rate,2011,12,20.0
Afghanistan,Corporate Tax Rate,2012,12,20.0
Afghanistan,Corporate Tax Rate,2013,12,20.0
Afghanistan,Corporate Tax Rate,2014,12,20.0
Afghanistan,Corporate Tax Rate,2015,12,20.0
Afghanistan,Corporate Tax Rate,2016,12,20.0
Afghanistan,Corporate Tax Rate,2017,12,20.0
Afghanistan,Corporate Tax Rate,2018,12,20.0
Afghanistan,Corporate Tax Rate,2019,12,20.0
Afghanistan,Corporate Tax Rate,2020,12,20.0
Afghanistan,Corporate Tax Rate,2021,12,20.0
Afghanistan,Corporate Tax Rate,2022,12,20.0
Afghanistan,Personal Income Tax Rate,2005,12,20.0
Afghanistan,Personal Income Tax Rate,2006,12,20.0
Afghanistan,Personal Income Tax Rate,2007,12,20.0
Afghanistan,Personal Income Tax Rate,2008,12,20.0
Afghanistan,Personal Income Tax Rate,2009,12,20.0
Afghanistan,Personal Income Tax Rate,2010,12,20.0
Afghanistan,Personal Income Tax Rate,2011,12,20.0
Afghanistan,Personal Income Tax Rate,2012,12,20.0
Afghanistan,Personal Income Tax Rate,2013,12,20.0
Afghanistan,Personal Income Tax Rate,2014,12,20.0
Afghanistan,Personal Income Tax Rate,2015,12,20.0
Afghanistan,Personal Income Tax Rate,2016,12,20.0
Afghanistan,Personal Income Tax Rate,2017,12,20.0
Afghanistan,Personal Income Tax Rate,2018,12,20.0
Afghanistan,Personal Income Tax Rate,2019,12,20.0
Afghanistan,Personal Income Tax Rate,2020,12,20.0
Afghanistan,Personal Income Tax Rate,2021,12,20.0
Afghanistan,Personal Income Tax Rate,2022,12,20.0
Afghanistan,Sales Tax Rate,2014,12,10.0
Afghanistan,Sales Tax Rate,2015,12,10.0
Afghanistan,Sales Tax Rate,2016,12,10.0
Afghanistan,Sales Tax Rate,2017,12,10.0
Afghanistan,Sales Tax Rate,2018,12,10.0
Afghanistan,Sales Tax Rate,2019,12,10.0
Afghanistan,Sales Tax Rate,2020,12,10.0
Afghanistan,Sales Tax Rate,2021,12,10.0
Afghanistan,Sales Tax Rate,2022,12,10.0
Albania,Corporate Tax Rate,2005,12,23.0
Albania,Corporate Tax Rate,2006,12,20.0
Albania,Corporate Tax Rate,2007,12,20.0
Albania,Corporate Tax Rate,2008,12,10.0
Albania,Corporate Tax Rate,2009,12,10.0
Albania,Corporate Tax Rate,2010,12,10.0
Albania,Corporate Tax Rate,2011,12,10.0
Albania,Corporate Tax Rate,2012,12,10.0
Albania,Corporate Tax Rate,2013,12,10.0
Albania,Corporate Tax Rate,2014,12,15.0
Albania,Corporate Tax Rate,2015,12,15.0
Albania,Corporate Tax Rate,2016,12,15.0
Albania,Corporate Tax Rate,2017,12,15.0
Albania,Corporate Tax Rate,2018,12,15.0
Albania,Corporate Tax Rate,2019,12,15.0
Albania,Corporate Tax Rate,2020,12,15.0
Albania,Corporate Tax Rate,2021,12,15.0
Albania,Corporate Tax Rate,2022,12,15.0
Albania,Corporate Tax Rate,2023,12,15.0
Albania,Personal Income Tax Rate,2005,12,25.0
Albania,Personal Income Tax Rate,2006,12,20.0
Albania,Personal Income Tax Rate,2007,12,25.0
Albania,Personal Income Tax Rate,2008,12,10.0
Albania,Personal Income Tax Rate,2009,12,10.0
Albania,Personal Income Tax Rate,2010,12,10.0
Albania,Personal Income Tax Rate,2011,12,10.0
Albania,Personal Income Tax Rate,2012,12,10.0
Albania,Personal Income Tax Rate,2013,12,10.0
Albania,Personal Income Tax Rate,2014,12,23.0
Albania,Personal Income Tax Rate,2015,12,23.0
Albania,Personal Income Tax Rate,2016,12,23.0
Albania,Personal Income Tax Rate,2017,12,23.0
Albania,Personal Income Tax Rate,2018,12,23.0
Albania,Personal Income Tax Rate,2019,12,23.0
Albania,Personal Income Tax Rate,2020,12,23.0
Albania,Personal Income Tax Rate,2021,12,23.0
Albania,Personal Income Tax Rate,2022,12,23.0
Albania,Personal Income Tax Rate,2023,12,23.0
Albania,Sales Tax Rate,2006,12,20.0
Albania,Sales Tax Rate,2007,12,20.0
Albania,Sales Tax Rate,2008,12,20.0
Albania,Sales Tax Rate,2009,12,20.0
Albania,Sales Tax Rate,2010,12,20.0
Albania,Sales Tax Rate,2011,12,20.0
Albania,Sales Tax Rate,2012,12,20.0
Albania,Sales Tax Rate,2013,12,20.0
Albania,Sales Tax Rate,2014,12,20.0
Albania,Sales Tax Rate,2015,12,20.0
Albania,Sales Tax Rate,2016,12,20.0
Albania,Sales Tax Rate,2017,12,20.0
Albania,Sales Tax Rate,2018,12,20.0
Albania,Sales Tax Rate,2019,12,20.0
Albania,Sales Tax Rate,2020,12,20.0
Albania,Sales Tax Rate,2021,12,20.0
Albania,Sales Tax Rate,2022,12,20.0
Albania,Sales Tax Rate,2023,12,20.0
Albania,Social Security Rate,2009,12,27.9
Albania,Social Security Rate,2010,12,27.9
Albania,Social Security Rate,2011,12,27.9
Albania,Social Security Rate,2012,12,27.9
Albania,Social Security Rate,2013,12,27.9
Albania,Social Security Rate,2014,12,27.9
Albania,Social Security Rate,2015,12,27.9
Albania,Social Security Rate,2016,12,27.9
Albania,Social Security Rate,2017,12,24.5
Albania,Social Security Rate,2018,12,24.5
Albania,Social Security Rate,2019,12,24.5
Albania,Social Security Rate,2020,12,24.5
Albania,Social Security Rate,2021,12,24.5
Albania,Social Security Rate,2022,12,24.5
Albania,Social Security Rate,2023,12,24.5
Albania,Social Security Rate For Companies,2009,12,16.7
Albania,Social Security Rate For Companies,2010,12,16.7
Albania,Social Security Rate For Companies,2011,12,16.7
Albania,Social Security Rate For Companies,2012,12,16.7
Albania,Social Security Rate For Companies,2013,12,16.7
Albania,Social Security Rate For Companies,2014,12,16.7
Albania,Social Security Rate For Companies,2015,12,16.7
Albania,Social Security Rate For Companies,2016,12,16.7
Albania,Social Security Rate For Companies,2017,12,15.0
Albania,Social Security Rate For Companies,2018,12,15.0
Albania,Social Security Rate For Companies,2019,12,15.0
Albania,Social Security Rate For Companies,2020,12,15.0
Albania,Social Security Rate For Companies,2021,12,15.0
Albania,Social Security Rate For Companies,2022,12,15.0
Albania,Social Security Rate For Companies,2023,12,15.0
Albania,Social Security Rate For Employees,2009,12,11.2
Albania,Social Security Rate For Employees,2010,12,11.2
Albania,Social Security Rate For Employees,2011,12,11.2
Albania,Social Security Rate For Employees,2012,12,11.2
Albania,Social Security Rate For Employees,2013,12,11.2
Albania,Social Security Rate For Employees,2014,12,11.2
Albania,Social Security Rate For Employees,2015,12,11.2
Albania,Social Security Rate For Employees,2016,12,11.2
Albania,Social Security Rate For Employees,2017,12,9.5
Albania,Social Security Rate For Employees,2018,12,9.5
Albania,Social Security Rate For Employees,2019,12,9.5
Albania,Social Security Rate For Employees,2020,12,9.5
Albania,Social Security Rate For Employees,2021,12,9.5
Albania,Social Security Rate For Employees,2022,12,9.5
Albania,Social Security Rate For Employees,2023,12,9.5
Albania,Withholding Tax Rate,2022,12,15.0
Albania,Withholding Tax Rate,2023,12,15.0
Algeria,Corporate Tax Rate,2012,12,25.0
Algeria,Corporate Tax Rate,2013,12,25.0
Algeria,Corporate Tax Rate,2014,12,19.0
Algeria,Corporate Tax Rate,2015,12,23.0
Algeria,Corporate Tax Rate,2016,12,26.0
Algeria,Corporate Tax Rate,2017,12,26.0
Algeria,Corporate Tax Rate,2018,12,26.0
Algeria,Corporate Tax Rate,2019,12,26.0
Algeria,Corporate Tax Rate,2020,12,26.0
Algeria,Corporate Tax Rate,2021,12,26.0
Algeria,Corporate Tax Rate,2022,12,26.0
Algeria,Personal Income Tax Rate,2013,12,35.0
Algeria,Personal Income Tax Rate,2014,12,35.0
Algeria,Personal Income Tax Rate,2015,12,35.0
Algeria,Personal Income Tax Rate,2016,12,35.0
Algeria,Personal Income Tax Rate,2017,12,35.0
Algeria,Personal Income Tax Rate,2018,12,35.0
Algeria,Personal Income Tax Rate,2019,12,35.0
Algeria,Personal Income Tax Rate,2020,12,35.0
Algeria,Personal Income Tax Rate,2021,12,35.0
Algeria,Personal Income Tax Rate,2022,12,35.0
Algeria,Personal Income Tax Rate,2023,12,35.0
Algeria,Sales Tax Rate,2014,12,17.0
Algeria,Sales Tax Rate,2015,12,17.0
Algeria,Sales Tax Rate,2016,12,17.0
Algeria,Sales Tax Rate,2017,12,19.0
Algeria,Sales Tax Rate,2018,12,19.0
Algeria,Sales Tax Rate,2019,12,19.0
Algeria,Sales Tax Rate,2020,12,19.0
Algeria,Sales Tax Rate,2021,12,19.0
Algeria,Sales Tax Rate,2022,12,19.0
Algeria,Sales Tax Rate,2023,12,19.0
Algeria,Social Security Rate,2012,12,35.0
Algeria,Social Security Rate,2013,12,35.0
Algeria,Social Security Rate,2014,12,35.0
Algeria,Social Security Rate,2015,12,35.0
Algeria,Social Security Rate,2016,12,35.0
Algeria,Social Security Rate,2017,12,35.0
Algeria,Social Security Rate,2018,12,35.0
Algeria,Social Security Rate,2019,12,35.0
Algeria,Social Security Rate,2020,12,35.0
Algeria,Social Security Rate,2021,12,35.0
Algeria,Social Security Rate,2022,12,35.0
Algeria,Social Security Rate,2023,12,35.0
Algeria,Social Security Rate For Companies,2012,12,26.0
Algeria,Social Security Rate For Companies,2013,12,26.0
Algeria,Social Security Rate For Companies,2014,12,26.0
Algeria,Social Security Rate For Companies,2015,12,26.0
Algeria,Social Security Rate For Companies,2016,12,26.0
Algeria,Social Security Rate For Companies,2017,12,26.0
Algeria,Social Security Rate For Companies,2018,12,26.0
Algeria,Social Security Rate For Companies,2019,12,26.0
Algeria,Social Security Rate For Companies,2020,12,26.0
Algeria,Social Security Rate For Companies,2021,12,26.0
Algeria,Social Security Rate For Companies,2022,12,26.0
Algeria,Social Security Rate For Companies,2023,12,26.0
Algeria,Social Security Rate For Employees,2012,12,9.0
Algeria,Social Security Rate For Employees,2013,12,9.0
Algeria,Social Security Rate For Employees,2014,12,9.0
Algeria,Social Security Rate For Employees,2015,12,9.0
Algeria,Social Security Rate For Employees,2016,12,9.0
Algeria,Social Security Rate For Employees,2017,12,9.0
Algeria,Social Security Rate For Employees,2018,12,9.0
Algeria,Social Security Rate For Employees,2019,12,9.0
Algeria,Social Security Rate For Employees,2020,12,9.0
Algeria,Social Security Rate For Employees,2021,12,9.0
Algeria,Social Security Rate For Employees,2022,12,9.0
Algeria,Social Security Rate For Employees,2023,12,9.0
Andorra,Sales Tax Rate,2013,12,4.5
Andorra,Sales Tax Rate,2014,12,4.5
Andorra,Sales Tax Rate,2015,12,4.5
Andorra,Sales Tax Rate,2016,12,4.5
Andorra,Sales Tax Rate,2017,12,4.5
Andorra,Sales Tax Rate,2018,12,4.5
Andorra,Sales Tax Rate,2019,12,4.5
Andorra,Sales Tax Rate,2020,12,4.5
Andorra,Sales Tax Rate,2021,12,4.5
