Country,Category,Year,Month,Value
Albania,Building Permits,2013,9,88.0
Albania,Building Permits,2013,12,210.0
Albania,Building Permits,2014,3,58.0
Albania,Building Permits,2014,6,39.0
Albania,Building Permits,2014,9,122.0
Albania,Building Permits,2014,12,51.0
Albania,Building Permits,2015,3,14.0
Albania,Building Permits,2015,6,99.0
Albania,Building Permits,2015,9,12.0
Albania,Building Permits,2015,12,45.0
Albania,Building Permits,2016,3,65.0
Albania,Building Permits,2016,6,98.0
Albania,Building Permits,2016,9,145.0
Albania,Building Permits,2016,12,147.0
Albania,Building Permits,2017,3,101.0
Albania,Building Permits,2017,6,197.0
Albania,Building Permits,2017,9,310.0
Albania,Building Permits,2017,12,211.0
Albania,Building Permits,2018,3,221.0
Albania,Building Permits,2018,6,270.0
Albania,Building Permits,2018,9,343.0
Albania,Building Permits,2018,12,360.0
Albania,Building Permits,2019,3,245.0
Albania,Building Permits,2019,6,339.0
Albania,Building Permits,2019,9,308.0
Albania,Building Permits,2019,12,202.0
Albania,Building Permits,2020,3,184.0
Albania,Building Permits,2020,6,209.0
Albania,Building Permits,2020,9,262.0
Albania,Building Permits,2020,12,306.0
Albania,Building Permits,2021,3,251.0
Albania,Building Permits,2021,6,347.0
Albania,Building Permits,2021,9,442.0
Albania,Building Permits,2021,12,356.0
Albania,Building Permits,2022,3,397.0
Albania,Building Permits,2022,6,339.0
Albania,Building Permits,2022,9,269.0
Albania,Building Permits,2022,12,415.0
Albania,Building Permits,2023,3,429.0
Albania,Building Permits,2023,6,509.0
Albania,Construction Output,2006,3,10.8
Albania,Construction Output,2006,6,-6.1
Albania,Construction Output,2006,9,-6.3
Albania,Construction Output,2006,12,9.2
Albania,Construction Output,2007,3,-2.8
Albania,Construction Output,2007,6,-4.8
Albania,Construction Output,2007,9,7.0
Albania,Construction Output,2007,12,17.1
Albania,Construction Output,2008,3,78.0
Albania,Construction Output,2008,6,88.2
Albania,Construction Output,2008,9,74.1
Albania,Construction Output,2008,12,19.9
Albania,Construction Output,2009,3,68.2
Albania,Construction Output,2009,6,61.0
Albania,Construction Output,2009,9,41.7
Albania,Construction Output,2009,12,15.2
Albania,Construction Output,2010,3,-23.4
Albania,Construction Output,2010,6,-16.8
Albania,Construction Output,2010,9,-13.7
Albania,Construction Output,2010,12,0.7
Albania,Construction Output,2011,3,9.2
Albania,Construction Output,2011,6,-4.3
Albania,Construction Output,2011,9,0.4
Albania,Construction Output,2011,12,-6.4
Albania,Construction Output,2012,3,5.7
Albania,Construction Output,2012,6,-18.0
Albania,Construction Output,2012,9,-16.6
Albania,Construction Output,2012,12,-13.8
Albania,Construction Output,2013,3,-31.1
Albania,Construction Output,2013,6,5.2
Albania,Construction Output,2013,9,-16.0
Albania,Construction Output,2013,12,-9.7
Albania,Construction Output,2014,3,-0.5
Albania,Construction Output,2014,6,-14.8
Albania,Construction Output,2014,9,16.1
Albania,Construction Output,2014,12,22.1
Albania,Construction Output,2015,3,21.5
Albania,Construction Output,2015,6,23.3
Albania,Construction Output,2015,9,12.5
Albania,Construction Output,2015,12,20.4
Albania,Construction Output,2016,3,2.7
Albania,Construction Output,2016,6,0.8
Albania,Construction Output,2016,9,8.6
Albania,Construction Output,2016,12,7.5
Albania,Construction Output,2017,3,24.2
