Country,Category,Year,Month,Value
Afghanistan,Government Budget,2006,12,-18.6
Afghanistan,Government Budget,2007,12,-18.7
Afghanistan,Government Budget,2008,12,-26.8
Afghanistan,Government Budget,2009,12,-26.0
Afghanistan,Government Budget,2010,12,-20.3
Afghanistan,Government Budget,2011,12,-17.9
Afghanistan,Government Budget,2012,12,-16.3
Afghanistan,Government Budget,2013,12,-1.8
Afghanistan,Government Budget,2014,12,-1.8
Afghanistan,Government Budget,2015,12,-0.7
Afghanistan,Government Budget,2016,12,-0.7
Afghanistan,Government Budget,2017,12,-0.7
Afghanistan,Government Budget,2018,12,-0.4
Afghanistan,Government Budget,2019,12,-0.9
Afghanistan,Government Budget,2020,12,-3.4
Afghanistan,Government Budget,2021,12,-4.5
Afghanistan,Government Budget Value,2006,12,-75931.0
Afghanistan,Government Budget Value,2007,12,-96946.0
Afghanistan,Government Budget Value,2008,12,-144781.8
Afghanistan,Government Budget Value,2009,12,-163407.7
Afghanistan,Government Budget Value,2010,12,-151275.2
Afghanistan,Government Budget Value,2011,12,-161596.7
Afghanistan,Government Budget Value,2012,12,-177409.7
Afghanistan,Government Budget Value,2013,12,-21827.9
Afghanistan,Government Budget Value,2014,12,-22306.1
Afghanistan,Government Budget Value,2015,12,-8555.3
Afghanistan,Government Budget Value,2016,12,-9850.6
Afghanistan,Government Budget Value,2017,12,-10433.2
Afghanistan,Government Budget Value,2018,12,-6123.65
Afghanistan,Government Budget Value,2019,12,-12656.57
Afghanistan,Government Budget Value,2020,12,-51319.31
Afghanistan,Government Budget Value,2021,12,-55254.25
Afghanistan,Government Debt to GDP,2006,12,23.0
Afghanistan,Government Debt to GDP,2007,12,20.1
Afghanistan,Government Debt to GDP,2008,12,19.1
Afghanistan,Government Debt to GDP,2009,12,16.2
Afghanistan,Government Debt to GDP,2010,12,7.7
Afghanistan,Government Debt to GDP,2011,12,7.5
Afghanistan,Government Debt to GDP,2012,12,6.8
Afghanistan,Government Debt to GDP,2013,12,6.9
Afghanistan,Government Debt to GDP,2014,12,8.7
Afghanistan,Government Debt to GDP,2015,12,9.1
Afghanistan,Government Debt to GDP,2016,12,8.4
Afghanistan,Government Debt to GDP,2017,12,8.0
Afghanistan,Government Debt to GDP,2018,12,7.4
Afghanistan,Government Debt to GDP,2019,12,6.1
Afghanistan,Government Debt to GDP,2020,12,7.4
Afghanistan,Government Spending,2005,12,32882.0
Afghanistan,Government Spending,2006,12,40346.0
Afghanistan,Government Spending,2007,12,53600.0
Afghanistan,Government Spending,2008,12,54633.5
Afghanistan,Government Spending,2009,12,71800.0
Afghanistan,Government Spending,2010,12,104639.0
Afghanistan,Government Spending,2011,12,109884.0
Afghanistan,Government Spending,2012,12,131176.0
Afghanistan,Government Spending,2013,12,139494.1
Afghanistan,Government Spending,2014,12,150064.8
Afghanistan,Government Spending,2015,12,152266.0
Afghanistan,Government Spending,2016,12,164514.9
Afghanistan,Government Spending,2017,12,273462.93
Afghanistan,Government Spending,2018,12,263688.46
Afghanistan,Government Spending,2019,12,323478.0
Afghanistan,Government Spending,2020,12,339369.0
Afghanistan,Government Spending,2021,12,266029.0
Afghanistan,Government Spending to GDP,2005,12,10.0
Afghanistan,Government Spending to GDP,2006,12,10.8
Afghanistan,Government Spending to GDP,2007,12,10.3
Afghanistan,Government Spending to GDP,2008,12,10.1
Afghanistan,Government Spending to GDP,2009,12,11.3
Afghanistan,Government Spending to GDP,2010,12,14.0
Afghanistan,Government Spending to GDP,2011,12,12.3
Afghanistan,Government Spending to GDP,2012,12,12.1
Afghanistan,Government Spending to GDP,2013,12,11.7
Afghanistan,Government Spending to GDP,2014,12,12.3
Afghanistan,Government Spending to GDP,2015,12,12.1
Afghanistan,Government Spending to GDP,2016,12,23.0
Afghanistan,Government Spending to GDP,2017,12,21.5
Afghanistan,Government Spending to GDP,2018,12,19.5
Afghanistan,Government Spending to GDP,2019,12,24.1
Afghanistan,Government Spending to GDP,2020,12,22.1
Afghanistan,Government Spending to GDP,2021,12,21.3
Afghanistan,Military Expenditure,2005,12,122.7
Afghanistan,Military Expenditure,2006,12,131.3
Afghanistan,Military Expenditure,2007,12,219.6
Afghanistan,Military Expenditure,2008,12,240.5
Afghanistan,Military Expenditure,2009,12,251.9
Afghanistan,Military Expenditure,2010,12,298.1
Afghanistan,Military Expenditure,2011,12,325.8
Afghanistan,Military Expenditure,2012,12,238.6
Afghanistan,Military Expenditure,2013,12,217.2
Afghanistan,Military Expenditure,2014,12,268.2
Afghanistan,Military Expenditure,2015,12,199.5
Afghanistan,Military Expenditure,2016,12,185.9
Afghanistan,Military Expenditure,2017,12,191.4
Afghanistan,Military Expenditure,2018,12,198.1
Afghanistan,Military Expenditure,2019,12,226.3
Afghanistan,Military Expenditure,2020,12,279.6
Afghanistan,Military Expenditure,2021,12,278.3
Albania,Fiscal Expenditure,2005,1,12345.0
Albania,Fiscal Expenditure,2005,2,29565.0
Albania,Fiscal Expenditure,2005,3,46814.0
Albania,Fiscal Expenditure,2005,4,64680.0
Albania,Fiscal Expenditure,2005,5,83010.0
Albania,Fiscal Expenditure,2005,6,102879.0
Albania,Fiscal Expenditure,2005,7,123234.0
Albania,Fiscal Expenditure,2005,8,140682.0
Albania,Fiscal Expenditure,2005,9,161795.0
