Unit,UnitGroup,FrequencyGroup,FrequencyRate,ExchangeRate,ConversionRate
GBP/Week,USD/YEAR,/Year,51,1.22579,62.51529
KRW/Month,USD/YEAR,/Year,12,0.000744607,0.008935286
RUB/Month,USD/YEAR,/Year,12,0.010582515,0.126990174
points,points,NA,1,1,1
PLN/Month,USD/YEAR,/Year,12,0.23944812,2.87337744
NZD/Hour,USD/YEAR,/Year,8760,0.58572,5130.9072
EUR/Month,USD/YEAR,/Year,12,1.06727,12.80724
MDL/Month,USD/YEAR,/Year,12,0.055152635,0.661831619
MYR/Month,USD/YEAR,/Year,12,0.209205021,2.510460251
EUR/Week,USD/YEAR,/Year,51,1.06727,54.43077
BGN/Month,USD/YEAR,/Year,12,0.55,6.6
BRL/Month,USD/YEAR,/Year,12,0.199449519,2.393394232
AUD/Week,USD/YEAR,/Year,51,0.63489,32.37939
THB/Month,USD/YEAR,/Year,12,0.027631943,0.33158331
SEK/Hour,USD/YEAR,/Year,8760,0.091210916,799.0076252
ZAR/Month,USD/YEAR,/Year,12,0.05284189,0.634102676
MNT Thousand/Month,USD/YEAR,/Year,12,0.290697674,3.488372093
USD/Hour,USD/YEAR,/Year,8760,1,8760
KGS/Month,USD/YEAR,/Year,12,0.011195701,0.13434841
JPY/Month,USD/YEAR,/Year,12,0.006682437,0.080189247
IDR/Month,USD/YEAR,/Year,12,6.28E-05,0.000753296
HKD/Month,USD/YEAR,/Year,12,0.12780794,1.533695285
CAD/Hour,USD/YEAR,/Year,8760,0.730940721,6403.040713
TWD/Month,USD/YEAR,/Year,12,0.030997179,0.371966151
RON/Month,USD/YEAR,/Year,12,0.214836617,2.578039401
KZT/Month,USD/YEAR,/Year,12,0.002098724,0.025184688
GEL,USD,NA,1,0.374531835,0.374531835
CUP/Month,USD/YEAR,/Year,12,0.042,0.504
CNY/Year,USD/YEAR,/Year,1,0.136901535,0.136901535
AZN/Month,USD/YEAR,/Year,12,0.589970501,7.079646018
AMD/Month,USD/YEAR,/Year,12,0.00249246,0.029909524
VND Thousand/Month,USD/YEAR,/Year,12,0.040666938,0.488003253
TJS/Month,USD/YEAR,/Year,12,0.091240876,1.094890511
DZD/Month,USD/YEAR,/Year,12,0.007300373,0.087604477
UZS Thousand/Month,USD/YEAR,/Year,12,0.081879696,0.98255635
NOK/Month,USD/YEAR,/Year,12,0.090377507,1.084530082
NIO Thousands/Month,USD/YEAR,/Year,12,27.63957988,331.6749585
ISK/Month,USD/YEAR,/Year,12,0.007263747,0.08716496
USD/Month,USD/YEAR,/Year,12,1,12
DKK/Month,USD/YEAR,/Year,12,0.143007096,1.716085152
BWP/Month,USD/YEAR,/Year,12,0.072699779,0.872397348
SGD/Month,USD/YEAR,/Year,12,0.731769785,8.781237423
