Country,Category,Year,Month,Value
Afghanistan,Money Supply M2,2005,3,52178.0
Afghanistan,Money Supply M2,2005,6,54538.0
Afghanistan,Money Supply M2,2005,9,58135.0
Afghanistan,Money Supply M2,2005,12,58737.0
Afghanistan,Money Supply M2,2006,3,64612.0
Afghanistan,Money Supply M2,2006,6,66648.0
Afghanistan,Money Supply M2,2006,9,75504.0
Afghanistan,Money Supply M2,2006,12,81247.9
Afghanistan,Money Supply M2,2007,3,91317.2
Afghanistan,Money Supply M2,2007,6,98101.1
Afghanistan,Money Supply M2,2007,9,105545.0
Afghanistan,Money Supply M2,2007,12,115693.1
Afghanistan,Money Supply M2,2008,3,119635.0
Afghanistan,Money Supply M2,2008,6,126028.6
Afghanistan,Money Supply M2,2008,9,140571.3
Afghanistan,Money Supply M2,2008,12,152002.1
Afghanistan,Money Supply M2,2009,3,162527.2
Afghanistan,Money Supply M2,2009,6,170329.0
Afghanistan,Money Supply M2,2009,9,191082.6
Afghanistan,Money Supply M2,2009,12,202231.3
Afghanistan,Money Supply M2,2010,3,226355.0
Afghanistan,Money Supply M2,2010,6,230439.5
Afghanistan,Money Supply M2,2010,9,240657.0
Afghanistan,Money Supply M2,2010,12,256726.8
Afghanistan,Money Supply M2,2011,3,278643.9
Afghanistan,Money Supply M2,2011,6,283146.7
Afghanistan,Money Supply M2,2011,9,294350.2
Afghanistan,Money Supply M2,2011,12,311433.1
Afghanistan,Money Supply M2,2012,3,318371.2
Afghanistan,Money Supply M2,2012,6,313586.1
Afghanistan,Money Supply M2,2012,9,331421.6
Afghanistan,Money Supply M2,2012,12,339610.7
Afghanistan,Money Supply M2,2013,3,340899.8
Afghanistan,Money Supply M2,2013,6,357594.2
Afghanistan,Money Supply M2,2013,9,362955.4
Afghanistan,Money Supply M2,2013,12,372251.5
Afghanistan,Money Supply M2,2014,3,361380.2
Afghanistan,Money Supply M2,2014,6,376923.2
Afghanistan,Money Supply M2,2014,9,386079.1
Afghanistan,Money Supply M2,2014,12,402483.0
Afghanistan,Money Supply M2,2015,3,374737.0
Afghanistan,Money Supply M2,2015,6,382000.8
Afghanistan,Money Supply M2,2015,9,397024.7
Afghanistan,Money Supply M2,2015,12,414857.0
Afghanistan,Money Supply M2,2016,3,395160.9
Afghanistan,Money Supply M2,2016,6,408346.0
Afghanistan,Money Supply M2,2016,9,424874.7
Afghanistan,Money Supply M2,2016,12,455204.1
Afghanistan,Money Supply M2,2017,3,436469.2
Afghanistan,Money Supply M2,2017,6,437401.0
Afghanistan,Money Supply M2,2017,9,450437.2
Afghanistan,Money Supply M2,2017,12,473836.9
Afghanistan,Money Supply M2,2018,3,441161.9
Afghanistan,Money Supply M2,2018,6,464578.8
Afghanistan,Money Supply M2,2018,9,466660.1
Afghanistan,Money Supply M2,2018,12,486034.2
Afghanistan,Money Supply M2,2019,3,464973.3
Afghanistan,Money Supply M2,2019,6,483428.4
Afghanistan,Money Supply M2,2019,9,486875.5
Afghanistan,Money Supply M2,2019,12,513735.1
Afghanistan,Money Supply M2,2020,3,490857.0
Afghanistan,Money Supply M2,2020,6,540921.3
Afghanistan,Money Supply M2,2020,9,546475.0
Afghanistan,Money Supply M2,2020,12,575737.9
Afghanistan,Money Supply M2,2021,3,538086.3
Albania,Loans to Private Sector,2007,12,184526.0
Albania,Loans to Private Sector,2008,1,184093.1
Albania,Loans to Private Sector,2008,2,192288.4
Albania,Loans to Private Sector,2008,3,198445.8
Albania,Loans to Private Sector,2008,4,204211.5
Albania,Loans to Private Sector,2008,5,209336.6
Albania,Loans to Private Sector,2008,6,219965.1
Albania,Loans to Private Sector,2008,7,225900.8
Albania,Loans to Private Sector,2008,8,230982.5
Albania,Loans to Private Sector,2008,9,240267.7
Albania,Loans to Private Sector,2008,10,245383.6
Albania,Loans to Private Sector,2008,11,252556.8
Albania,Loans to Private Sector,2008,12,254009.1
Albania,Loans to Private Sector,2009,1,258431.2
Albania,Loans to Private Sector,2009,2,265571.2
Albania,Loans to Private Sector,2009,3,268989.8
Albania,Loans to Private Sector,2009,4,269911.1
Albania,Loans to Private Sector,2009,5,274071.4
Albania,Loans to Private Sector,2009,6,270119.3
Albania,Loans to Private Sector,2009,7,272335.4
Albania,Loans to Private Sector,2009,8,275522.0
Albania,Loans to Private Sector,2009,9,279453.9
Albania,Loans to Private Sector,2009,10,282843.8
Albania,Loans to Private Sector,2009,11,285013.6
Albania,Loans to Private Sector,2009,12,291214.3
Albania,Loans to Private Sector,2010,1,295263.4
Albania,Loans to Private Sector,2010,2,297291.4
Albania,Loans to Private Sector,2010,3,299320.4
Albania,Loans to Private Sector,2010,4,300365.9
Albania,Loans to Private Sector,2010,5,307639.9
Albania,Loans to Private Sector,2010,6,308344.0
Albania,Loans to Private Sector,2010,7,308754.7
Albania,Loans to Private Sector,2010,8,309119.7
Albania,Loans to Private Sector,2010,9,310040.0
Albania,Loans to Private Sector,2010,10,310747.8
Albania,Loans to Private Sector,2010,11,323591.4
Albania,Loans to Private Sector,2010,12,330388.1
Albania,Loans to Private Sector,2011,1,329854.7
Albania,Loans to Private Sector,2011,2,334034.9
Albania,Loans to Private Sector,2011,3,340108.7
